REQUESTID,DATE,LAT,LON,STATUS,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Address,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
1201906,04/20/2022,37.74012302,-122.174134,OPEN,37.739915,-122.174026,1,rooftop,1100,100th Ave,1100 100th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,409300,3003,3,60014093003003,6001409300,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
506009,03/04/2014,37.74382497,-122.1624181,OPEN,37.743969,-122.16252,1,rooftop,1917,101st Ave,1917 101st Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1001,1,60014104001001,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
1188099,02/22/2022,37.7439487,-122.1614673,OPEN,37.743812,-122.161354,1,rooftop,2012,101st Ave,2012 101st Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1002,1,60014104001002,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
1192841,03/14/2022,37.7439487,-122.1614673,OPEN,37.743812,-122.161354,1,rooftop,2012,101st Ave,2012 101st Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1002,1,60014104001002,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
1192658,03/12/2022,37.74402225,-122.1611938,OPEN,37.743875,-122.161107,1,rooftop,2024,101st Ave,2024 101st Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1002,1,60014104001002,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
936759,08/20/2019,37.743903,-122.16096,OPEN,37.74391,-122.16097,1,rooftop,2028,101st Ave,2028 101st Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1002,1,60014104001002,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
1166902,11/26/2021,37.73810004,-122.1726249,OPEN,37.737899,-122.172499,1,rooftop,1042,103rd Ave,1042 103rd Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,409300,3016,3,60014093003016,6001409300,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
931543,08/05/2019,37.74208939,-122.163251,OPEN,37.742257,-122.163314,1,rooftop,1819,103rd Ave,1819 103rd Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,3006,3,60014104003006,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
723480,04/05/2017,37.73947718,-122.1679738,OPEN,37.73966,-122.16805,1,rooftop,1357,104th Ave,1357 104th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,409300,2001,2,60014093002001,6001409300,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
1179497,01/19/2022,37.74209916,-122.1596689,OPEN,37.741837,-122.159713,1,rooftop,2048,104th Ave,2048 104th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda,2021,6,6001,Oakland,653000,410400,1009,1,60014104001009,6001410400,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
